,m/z,m/z,time,time,Intens.,Intens.,SN,SN,Quality Fac.,Quality Fac.,Res.,Res.,Area,Area,Rel. Intens.,Rel. Intens.,FWHM,FWHM,Chi^2,Chi^2,Bk. Peak,Bk. Peak
level_1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
level_0,,,,,,,,,,,,,,,,,,,,,,
DM01_0_A1_2,2791.0,2819.734048957666,0.0,30088.262004756587,0.0,6441.572022127368,0.0,9.406828351675559,0,,0.0,533.5878177092198,0.0,23126.33546912512,0.0,1.0,0.0,5.284479808896776,0,,0.0,0.0
DM01_0_A2_1,2791.0,2819.646079160118,0.0,30087.79967977868,0.0,8151.048875624319,0.0,10.8719129029455,0,,0.0,535.2463550911989,0.0,31828.6339426565,0.0,1.0,0.0,5.267940738577636,0,,0.0,0.0
DM02_0_A3_1,2791.62430108072,2819.749571528665,29940.156595562403,30088.343582816295,2811.0,6741.0,3.692544451463495,17.92667853116093,,,562.4241320473217,547.0667532959664,6100.801320207211,29853.53060200042,0.41700044503782824,1.0,4.963557112883336,5.154306224131233,,,0.0,0.0
DM02_0_A4_1,2791.503585681418,2819.75013824613,29939.518937667133,30088.34656116596,3662.0,9261.0,4.065860319859292,18.55647262469199,,,529.9939680774174,535.6769277312974,8862.0856512006,44191.90353891646,0.3954216607277832,1.0,5.267047841709883,5.263900668987845,,,0.0,0.0
DM03_0_A5_1,2791.260839339256,2819.879411433936,29938.236630353298,30089.025940711006,3329.0,10480.0,1.674070048413637,15.15523549459148,,,557.4419489183049,540.0740840156266,4812.511855295675,50272.26809884449,0.3176526717557252,1.0,5.007267294389295,5.22128258861676,,,0.0,0.0
DM03_0_A6_1,2791.557896328603,2820.171812354709,29939.805825855066,30090.562559894723,5659.0,18929.0,1.609866545809132,14.77248457593062,,,493.6424985050964,492.1826259774765,9630.784191163812,100980.420198573,0.2989592688467431,1.0,5.655019380993962,5.72992963080287,,,0.0,0.0
DM04_0_A7_1,2791.666226903192,2820.070644245615,29940.378058079732,30090.030912527036,3694.0,8565.0,1.943995582606604,10.56693936874144,,,486.6302318803218,508.1623468630812,6135.443703526742,34605.99739712133,0.4312901342673672,1.0,5.736729952260249,5.549546639285834,,,0.0,0.0
DM04_0_A8_1,2791.844013349248,2820.033220848748,29941.3171510952,30089.834246809485,2643.0,5519.0,1.779354665023913,10.41717509846766,,,573.2067553969518,535.0715956261143,3044.716556937855,20009.686794111,0.4788911034607719,1.0,4.870570674652755,5.27038483055503,,,0.0,0.0
